pto. sup. terrestre,Fecha/Date,Pais/Country,Lugar/Place,Coordenadas del centro de la imagen/Center cordinates,Orientation,Observaciones/comments,Enlace a la ficha/Link,Enlace  a la imagen/Image,Autor/Author of clasification,Calidad/Cuality,Focal/ Focal Length,Cámara/ Model,T. Exposición/ Shutter,Apertura/ Aperture,ISO,Clasificada(1)/ No Clasificada(0),Other links(twitter and other),Similar images,Tilt
,2011:02:11 23:13:13,France,TOULOUSE AT NIGHT,"43.6, 1.3",Nadir: Oeste,Despejado,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26502,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26502.JPG,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,26502 - 	26505,51
,2011:02:11 23:13:39,France ,Lyon to geneva,"46.0, 5.0",Nadir: Oeste,Despejado,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26506,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26506.JPG,Alex,,80 mm,NIKON D3S,0.066666666666667,4,12800,1,,26506 - 26508,30
,2011:02:11 23:13:51,France,Lyon to geneva,"45.8, 4.9",Nadir: Oeste,Despejado,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26512,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26512.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,26509 - 	26514,43
,2011:02:11 23:14:07,ITALY,TORINO AT NIGHT,"45.1, 7.7",Nadir: suroeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26515,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26515.jpg,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,,33
,2011:02:11 23:14:11,France,GRENOBLE AT NIGHT,"45.3, 5.8",Nadir: Oeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26516,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26516.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,,51
,2011:02:11 23:14:16,France,"GENEVA, LAKE GENEVA AT NIGHT","46.4, 6.5",Nadir: Oeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26517,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26517.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,,47
,2011:02:11 23:14:27,ITALY,TORINO AT NIGHT,"45.1, 7.7",Nadir: suroeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26519,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26519.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,	26519 - 26520,49
,2011:02:11 23:14:40,ITALY,MILAN AT NIGHT,"45.6, 9.1",Nadir: suroeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26525,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26525.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,26521 - 	26525,47
,2011:02:11 23:14:46,ITALY,MILAN AT NIGHT,"45.6, 9.2",Nadir: suroeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-26526,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26526.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,26526 - 26528,51
,2011:02:11 23:15:02,ITALY,SALO AT NIGHT,"45.7, 10.7",Nadir: suroeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26529,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26529.JPG,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,26529 - 	26530,52
