pto. sup. terrestre,Fecha/Date,Pais/Country,Lugar/Place,Coordenadas del centro de la imagen/Center cordinates,Orientation,Observaciones/comments,Enlace a la ficha/Link,Enlace  a la imagen/Image,Autor/Author of clasification,Calidad/Cuality,Focal/ Focal Length,Cámara/ Model,T. Exposición/ Shutter,Apertura/ Aperture,ISO,Clasificada(1)/ No Clasificada(0),Other links(twitter and other),Similar images,Tilt
,2011:02:14 09:27:37,USA,Baltimore,"39.292,-76.625",norte arriba,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=27030,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-27030.JPG,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,4,12800,0,,,
,2011:02:14 09:27:53,USA,"Chesapeake, Virginia","36.867, -76.275",norte arriba,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=27034,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-27034.JPG,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,4,12800,0,,,
,2011:02:14 09:28:30,USA,"Atlantic City, Nueva Jersey","39.347, -74.317",sureste arriba,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=27038,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-27038.JPG,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,4,12800,0,,,
,2011:02:14 09:28:45,USA,"Atlantic City, Nueva Jersey","39.365,-74.423",sureste arriba,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=27041,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-27041.jpg,Alex,,80 mm,NIKON D3S,0.066666666666667,4,12800,0,,,
,2011:02:14 22:58:00,France,Paris,"48.860, 2.326",,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=27043,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-27043.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,0,,,
,2011:02:14 22:58:10,France,Paris,"48.846, 2.342",,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=27045,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-27045.JPG,"Alex, Marian",,80 mm,NIKON D3S,0.066666666666667,4,12800,0,,	27043 - 	27049,
,2011:02:14 23:00:47,Polonia,Breslavia,"51.114, 17.034",norte arriba,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=27062,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-27062.JPG,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,4,12800,0,,	27062 - 	27070,
,2011:02:15 21:49:57,Alemania,Munich,"48.140, 11.580",sur arriba,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=27167,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-27167.JPG,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
,2011:02:18 23:23:59,India,"Bombay, Maharastra","18.971, 72.935",este arriba,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=28237,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28237.JPG,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,4,12800,0,,,
,2011:02:18 23:24:16,India,"Pune, Maharastra","18.520, 73.857",,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=28244,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28244.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,0,,,
,2011:02:18 23:26:12,India,"Hyderabad, Andhra Pradesh","17.387, 78.487",,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=28261,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28261.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,0,,28261 - 	28272,
,2011:02:19 00:27:58,USA,"Virginia Beach, Virginia","37.492,-78.629",noroeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28282,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28282.jpg,"Alex, Marian",,80 mm,NIKON D3S,0.066666666666667,4,12800,1,,,
,2011:02:22 00:13:09,Canada,Montreal,"45,514, -73,675",,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-34846,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-34846.jpg,"Marian,Alex",,135 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
,2011:02:22 23:16:30,France,Paris,"48.9 , 2.5",Nadir: este,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=28791,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28791.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,	28791 - 	28805,
,2011:02:22 23:16:43,France,Paris,"48.8, 2.4",Nadir: noroeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28794,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28794.jpg,Marian,,200.0 mm,NIKON D3S,0.066666666666667,2.8,12800,1,http://www.flickr.com/photos/magisstra/5470118089/,28791 - 28805 10927-10941,
,2011:02:22 23:17:49,France,Geneva,"46.5, 7.0",oeste,parcialmente nublado,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28806,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28806.jpg,Marian,,80 mm,NIKON D3S,0.066666666666667,2.8,12800,1,,,
,2011:02:22 23:17:54,Suiza,BERN-LUZERN-ZURICH,"46.5, 8.6",,Cobertura nubes: 50%,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=28808,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28808.JPG,Marian,,80 mm,NIKON D3S,0.066666666666667,2.8,12800,1,,,
,2011:02:22 23:18:30,Italy,Milano.,"45.5, 9.3",Nadir: oeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28826,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28826.jpg,Marian,,200.0 mm,NIKON D3S,0.066666666666667,2.8,12800,1,http://www.flickr.com/photos/magisstra/5323249838/in/photostream/,28881 - 28830 26521 - 26528 ,
,2011:02:22 23:19:03,Italy,FIRENZE-LIVORNO-PISA REGION AT NIGHT,"43.8, 10.7",Nadir: oeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=28837,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28837.JPG,"Marian, Guillermo",,135.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,,28834-28838,
,2011:02:22 23:19:06,Italy,LIVORNO-PISA-VIAREGGIO REGION AT NIGHT,"43.9, 10.5",Nadir: oeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28840,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28840.JPG,"Marian, Guillermo",,200.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,,,
,2011:02:22 23:19:47,Croatia,Split,"43.5, 16.4",Nadir: noroeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28847,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28847.jpg,"Marian, Guillermo",,200.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,http://www.flickr.com/photos/magisstra/5428247317/in/photostream/,28847 - 28849,
,2011:02:22 23:20:45,Albania,TIRANE-DURRES AREA AT NIGHT,"41.3, 19.7",Nadir: oeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28857,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28857.jpg,"Marian, Guillermo",,200.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,,28856 - 28859,
,2011:02:22 23:21:44,Grecia,Atenas,"38.0, 23.7",Nadir: oeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28866,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28866.JPG,"Marian, Guillermo",,200.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,,28862 - 28876,
,2011:02:22 23:23:50,Cyprus,Nicosia,"35.2, 33.4",Nadir: noroeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28888,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28888.jpg,Marian,,200.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,,28888 - 28889 28892 - 28893,
,2011:02:22 23:23:53,Cyprus,NICOSIA AND CITIES OF CYPRUS AT NIGHT,"35.5, 33.0",Nadir: norte,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28890,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28890.jpg,Marian,,80.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,,28890 - 28891,
,2011:02:22 23:24:12,Líbano,BEIRUT AREA AT NIGHT,"33.8, 35.4",Nadir: noreste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28894,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28894.jpg,Marian,,200.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,,28894 - 28895,
,2011:02:22 23:24:15,Líbano,SAIDA-SOUR AREA AT NIGHT,"33.4, 35.3",Nadir: noreste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28896,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28896.jpg,Marian,,200.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,,,
,2011:02:22 23:24:18,Israel,SOUR-NAHARIYYA-HAIFA AREA AT NIGHT,"33.0, 35.2",Nadir: noreste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28898,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28898.JPG,Marian,,200.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,,,
,2011:02:22 23:24:40,Israel,HAIFA-NAHRIYYA AREA AT NIGHT,"32.9, 35.1",Nadir: norte,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28909,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28909.jpg,Marian,,200.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,,,
,2011:02:22 23:24:44,Israel,Tel Aviv ,"32.0, 34.8",Nadir: norte,despejado,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=28912,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28912.JPG,Marian,,200.0 mm,NIKON D3S,0.066666666666667,2.8,12800,1,http://www.flickr.com/photos/magisstra/5322644675/in/photostream/,28901 - 28905 28912- 28917,
,2011:02:22 23:24:52,Israel,TEL AVIV-JERUSALEM-AMMAN REGION AT NIGHT,"32.0, 35.5",Nadir: norte,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=28918,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28918.JPG,Marian,,80.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,,,
,2011:02:22 23:24:56,Jordan,AMMAN AREA AT NIGHT,"32.0, 35.9",Nadir: norte,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28920,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28920.jpg,Marian,,200.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,,28920 - 28927,
,2011:02:22 23:26:17,,CITIES OF THE SINAI PENINSULA REGION AT NIGHT,"28.0, 34.0",Nadir: oeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=28939,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28939.JPG,Marian,,16.00 mm,NIKON D3S,0.066666666666667,2.8,12800,1,http://www.flickr.com/photos/magisstra/5326679750/in/photostream/,28938-28939,
,2011:02:22 23:26:54,Arabia Saudi,Medina,"24.5, 39.6",Nadir: oeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28941,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28941.jpg,Marian,,200.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,,,
,2011:02:22 23:27:44,Arabia Saudi,JEDDAH-MECCA-AT TA'IF REGION AT NIGHT,"21.5, 39.8",Nadir: oeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28948,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28948.jpg,Marian,,86.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,,,
,2011:02:22 23:27:50,Arabia Saudi,MECCA AREA AT NIGHT,"21.4, 39.8",Nadir: oeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28952,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28952.jpg,Marian,,200.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,,,
,2011:02:22 23:27:53,Arabia Saudi,AT TA'IF AREA AT NIGHT,"21.3, 40.4",Nadir: oeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-28954,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28954.jpg,Marian,,200.0 mm,NIKON DS3,0.066666666666667,2.8,12800,1,,,
,2011:03:07 01:08:28,USA,Detroit,"42,333, -83,067",,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-32147,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-32147.jpg," Marian,Alex",,200 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,32147 - 32145,
,2011:03:29 12:41:39,USA,Honolulu Hawai,"21.2 , -157.3",nadir: noroeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-9243,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-9243.jpg,Marian,,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,9243 - 9251,
,2011:04:02 11:25:23,USA,Oregon,"44.1 , -132.2",nadir: este,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-10108,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-10105.JPG,Marian,,116 mm,NIKON D3S,0.066666666666667,4,12800,1,,,
,2011:04:06 05:16:41,USA ,St. Petersburg,"27,804, -82,594",,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-20111,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-20111.jpg,"Marian,Alex",,80.0 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
,2011:04:06 05:16:45,USA,Península de Florida,"30.136, -82.441",arriba: suroeste,despejado,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-30218,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-30218.jpg,Guillermo,Muy buena,18.0mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
,2011:04:06 05:17:22,USA,Lakeland,"28.036,-81.949",arriba: sursureste SSE,un poco desenfocada,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-20118,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-20118.jpg,"Guillermo, Marian",buena,200.0mm,NIKON D3S,0.066666666666667,4,12800,0,,,
"Lon   = -65°03'53""     Lat   = +38°51'50"" ",2011:04:06 05:21:59,USA,Boston,"42.359, -71.058",,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-20156,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-20156.jpg,Marian,,200 mm,NIKON D3S,0.066666666666667,4,12800,0,,,
,2011:04:13 08:15:22,CANADA,Edmonton,"53.5 , -113.5",nadir: noroeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-12254,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-12254.jpg,Marian,,70 mm,NIKON D3S,0.066666666666667,4,12800,1,,12442 - 12254,
,2011:04:13 08:15:23,CANADA,Edmonton,"53.545, -113.490",,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-11778,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-11778.jpg,Marian,,200 mm,NIKON D3S,0.033333333333333,2.8,12800,0,,,
,2011:04:16 01:41:22,USA,New York - Boston,"41.253,-73.026",noroeste arriba,gran campo,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS027&roll=E&frame=14018,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-14018.JPG,Marian,,45 mm,NIKON D3S,0.033333333333333,2.8,12800,0,,,
"Lon   = -57°33'43""     Lat   = +45°12'36""",2011:04:16 01:43:24,USA,Boston,"42.359, -71.058",,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS027&roll=E&frame=13661,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13661.JPG,"Alex,Marian",,80.0 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
,2011:04:16 01:45:05,Canada,St.John,"45.276,-66.065",,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS027&roll=E&frame=13664,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13664.JPG,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
"Lon   = -49°16'49""     Lat   = +48°03'47"" ",2011:04:16 01:53:32,Ireland,Dublin,,,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-13666,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13666.jpg,Alex,,200 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
"Lon=-358°34'00""           Lat= +49°14'42"" ",2011:04:16 01:53:48,Reino Unido,Cardiff y Newport. Mouth of the Severn,"51.528,-3.179",noroeste noroeste arriba (NWW),parcialmente nublado,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-13670,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13670.jpg,"Marian, Guillermo",,80 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
,2011:04:16 01:54:25,France,Paris,"48.860, 2.326",arriba: suroeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-13678,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13678.jpg,"Marian, Guillermo",buena,200 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,"Filas 50, 160, 161",
"Lon   = -70°39'27""     Lat   = +41°22'59""  ",2011:04:16 08:04:01,USA,Long Island,"41.084,-73.394",arriba: noreste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS027&roll=E&frame=13692,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13692.JPG,Marian,,80 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
,2011:04:16 08:04:48,USA,Connecticut,"41.796,-72.664",arriba: suroeste,gran campo,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-14068,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-14068.jpg,"Marian, Guillermo",buena,60 mm,NIKON D3S,0.066666666666667,4,12800,0,,,
,2011:04:17 08:26:42,USA,ILLINOIS,"41.5, -88.0",,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-13725,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13725.jpg,Marian,,80 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
,2011:04:17 08:29:06,USA,Baltimore y Washington DC,"39.08,-76.65",norte esquina inferior izquierda,parcialmente nublado con nubes altas,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS027&roll=E&frame=13744,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13744.JPG,"Marian, Guillermo",buena,80 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
,2011:04:17 08:30:00,USA,Washington DC y Richmond a la derecha; con Fredericksburg en medio.,"38.32,-77.18",norte: esquina inferior izquierda (más o menos),Washington DC parcialmente nublado con nubes altas,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS027&roll=E&frame=13754,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13754.JPG,"Marian, Guillermo",un poco movida,80 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
,2011:04:17 08:30:03,USA,"Norfolk, Portsmouth, Virginia Beach","37.06,-76.47",norte: esquina inferior izquierda,despejado,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS027&roll=E&frame=13755,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13755.JPG,"Marian, Guillermo",muy nítida,80 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
"Lon   = -68°32'03""     Lat   = +31°24'17""  ",2011:04:17 08:31:16,North Carolina?,New Bern?,,,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-13768,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13768.jpg,Marian,,200 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
,2011:04:17 08:31:27,USA- Canada,Alaska - Canadá,"64.168,-154.51",arriba: oeste,gran campo,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS027&roll=E&frame=13770,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13770.JPG,Marian,,200 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
,2011:04:17 09:55:50,,,,,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-13785,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13785.jpg,Marian,,200 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
,2011:04:17 09:56:18,,,,,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-14102,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-14102.jpg,Marian,,56.0 mm,NIKON D3S,0.066666666666667,4,12800,0,,,
,2011:04:17 10:02:05,USA,Mineapolis-St Paul,"44.972,-93.178",arriba: noreste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-13817,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13817.jpg,Marian,,100 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
"Lon   = -88°24'20""     Lat   = +28°16'45""  ",2011:04:17 10:03:51,,,,,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-13824,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13824.JPG,Marian,,200 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
"Lon   = -122°58'50""     Lat   = +37°34'20"" ",2011:04:17 11:31:48,,,,,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-13369,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13369.jpg,Marian,,31 mm,NIKON D3S,0.05,3.2,12800,0,,,
,2011:04:17 11:33:41,USA,Los Angeles,"33.830,-118.130",arriba: norte,algo nuboso,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-13856,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13856.jpg,"Marian, Guillermo",buena ,200 mm,NIKON D3S,0.066666666666667,2.8,12800,0,,,
,2011:04:17 11:34:36,USA,Costa Oeste,"43.133,-123.135",arriba: suroeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-13382,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-13382.jpg,Marian,,40 mm,NIKON D3S,0.05,3.2,12800,0,,,
,2011:04:19 18:22:53,CHINA,Beijing - Tianjin,"39.6,116.8",arriba: noroeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-14348,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-14348.jpg,Marian,,70.0 mm,NIKON D3S,0.066666666666667,4,12800,0,,,
,2011:04:19 18:23:06,CHINA,Beijing,"39.9 , 116.4",Nadir: noroeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-14748,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-14748.jpg,Marian,,116.0 mm,NIKON D3S,0.066666666666667,2.8,12800,1,,14744 - 14762,
,2011:04:19 18:23:39,CHINA,"Tianjin, Wuqing","39.0 , 117.5",Nadir: noroeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS027-E-14766,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-14766.jpg,Marian,,110.0 mm,NIKON D3S,0.066666666666667,2.8,12800,1,,14763 - 14771,
,2011:04:19 18:24:44,CHINA,"QINGDAO, JIAOZHOUWAN, HUANGDAO","36.1, 120.4",Nadir: oeste,Despejado,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS027&roll=E&frame=14777,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-14777.JPG,Marian,,100.0 mm,NIKON D3S,0.066666666666667,2.8,12800,1,,14777 - 14787,
