'Chicago', 'ISS020-E-52055', 43.5, -88.0, 41.8756208, -87.6243706, 43.5, -88.0, 'NIKON D2Xs S/N: 6026710', '20090920', '024008', 181.0, 304.0, -29.0, '1/4', '2.8', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS020&roll=E&frame=52055'
'Athens', 'ISS020-E-52546', 39.0, 24.6, 33.9595974, -83.376678, 39.0, 24.6, 'NIKON D2Xs S/N: 6026710', '20090920', '192743', 181.0, 306.0, -35.0, '1/10', '2.8', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS020&roll=E&frame=52546'
'Moscu', 'ISS020-E-53086', 51.3, 40.0, 55.4792046, 37.3273304, 51.3, 40.0, ' NIKON D3', '20090904', '205000', 181.0, 352.0, -32.0, '1/15', '2.8', ' Hi 12800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS020&roll=E&frame=53086'
'New york', 'ISS020-E-53100', 44.5, -68.0, 40.7305991, -73.9865812, 44.5, -68.5, ' NIKON D3', '20090906', '014205', 181.0, 311.0, -26.0, '1/15', '2.8', ' Hi 12800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS020&roll=E&frame=53100'
'La manga', 'ISS021-E-15145', 36.6, 1.4, 45.0838145, 25.2806477433372, 36.6, 1.4, 'NIKON D2Xs S/N: 6026710', '20091025', '000345', 185.0, 15.0, -65.0, '0.3', '2.8', '400', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=15145'
'Valencia', 'ISS021-E-15146', 37.1, 2.2, 39.55773285, -0.299777427158372, 37.1, 2.2, 'NIKON D2Xs S/N: 6026710', '20091025', '000359', 185.0, 16.0, -64.0, '0.3', '2.8', '400', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=15146'
'Tenerife y Gran Canaria', 'ISS021-E-17003', 28.9, -19.0, 27.9928829, -15.3903797, 28.9, -19.2, 'NIKON D2Xs S/N: 6026710', '20091029', '224509', 185.0, 288.0, -55.0, '1/5', '1.2', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=17003'
'Cadiz', 'ISS021-E-17020', 40.7, -3.5, 36.5216471, -6.2826008, 40.7, -3.5, 'NIKON D2Xs S/N: 6026710', '20091029', '224945', 184.0, 326.0, -59.0, '1/5', '1.2', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=17020'
'Malaga-Granada', 'ISS021-E-17021', 41.1, -2.8, 36.4065362, -5.3025245, 41.1, -2.8, 'NIKON D2Xs S/N: 6026710', '20091029', '224956', 184.0, 328.0, -59.0, '1/5', '1.2', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=17021'
'Costa de Valencia', 'ISS021-E-17023', 41.9, -1.4, 38.463114, -0.7815708, 41.9, -1.4, 'NIKON D2Xs S/N: 6026710', '20091029', '225016', 184.0, 331.0, -59.0, '1/5', '1.2', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=17023'
'Valencia', 'ISS021-E-17023', 41.9, -1.4, 39.55773285, -0.299777427158372, 41.9, -1.4, 'NIKON D2Xs S/N: 6026710', '20091029', '225016', 184.0, 331.0, -59.0, '1/5', '1.2', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=17023'
'Madrid', 'ISS021-E-17025', 42.8, 0.4, 40.52516075, -3.77181653956588, 42.8, 0.4, 'NIKON D2Xs S/N: 6026710', '20091029', '225042', 184.0, 335.0, -59.0, '1/5', '1.2', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=17025'
'Madrid', 'ISS021-E-17025', 42.8, 0.4, 40.52516075, -3.77181653956588, 42.8, 0.4, 'NIKON D2Xs S/N: 6026710', '20091029', '225042', 184.0, 335.0, -59.0, '1/5', '1.2', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=17025'
'Barcelona', 'ISS021-E-17027', 43.8, 2.5, 41.3870186, 2.1700437, 43.8, 2.5, 'NIKON D2Xs S/N: 6026710', '20091029', '225111', 184.0, 340.0, -59.0, '1/5', '1.2', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=17027'
'Tenerife y Gran Canaria', 'ISS021-E-18602', 30.3, -17.0, 27.9928829, -15.3903797, 30.3, -17.5, 'NIKON D2Xs S/N: 6026710', '20091031', '215657', 184.0, 281.0, -46.0, '1/5', '1.2', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=18602'
'Costa de Valencia', 'ISS021-E-18625', 42.3, -0.4, 38.463114, -0.7815708, 42.3, -0.4, 'NIKON D2Xs S/N: 6026710', '20091031', '220146', 184.0, 314.0, -54.0, '1/5', '1.2', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=18625'
'Valencia', 'ISS021-E-18625', 42.3, -0.4, 39.55773285, -0.299777427158372, 42.3, -0.4, 'NIKON D2Xs S/N: 6026710', '20091031', '220146', 184.0, 314.0, -54.0, '1/5', '1.2', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=18625'
'Cadiz', 'ISS021-E-21397', 43.8, -8.7, 36.5216471, -6.2826008, 43.8, -8.7, 'NIKON D2Xs S/N: 6026710', '20091103', '213436', 183.0, 296.0, -45.0, '1/5', '1.2', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=21397'
'Madrid', 'ISS021-E-21400', 45.3, -5.3, 40.52516075, -3.77181653956588, 45.3, -5.3, 'NIKON D2Xs S/N: 6026710', '20091103', '213521', 183.0, 301.0, -47.0, '1/5', '1.2', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=21400'
'Barcelona', 'ISS021-E-24543', 36.5, 2.5, 41.3870186, 2.1700437, 36.5, 2.5, 'NIKON D2Xs S/N: 6026710', '20091107', '182135', 182.0, 263.0, -19.0, '1/5', '1.2', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=24543'
' \xd8\xa7\xd9\x84\xd8\xac\xd8\xb2\xd8\xa7\xd8\xa6\xd8\xb1 Alg\xc3\xa9rie', 'ISS021-E-24544', 37.2, 3.5, 0.0, 0.0, 37.2, 3.5, 'NIKON D2Xs S/N: 6026710', '20091107', '182152', 182.0, 264.0, -20.0, '1/5', '1.2', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=24544'
'Valencia', 'ISS021-E-25437', 38.8, -0.7, 39.55773285, -0.299777427158372, 38.8, -0.7, 'NIKON D2Xs S/N: 6026710', '20091114', '223816', 183.0, 319.0, -65.0, '1/5', '2.8', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=25437'
'Cadiz', 'ISS021-E-27320', 34.4, -5.8, 36.5216471, -6.2826008, 34.4, -5.8, 'NIKON D2Xs S/N: 6026710', '20091115', '230038', 183.0, 312.0, -68.0, '1/5', '1.2', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=27320'
'Melburne', 'ISS021-E-8688', -36.9, 145.0, 27.970427, -82.402641, -36.9, 145.1, 'NIKON D2Xs S/N: 6026710', '20091018', '122017', 188.0, 213.0, -37.0, '1/4', '2.8', 'Hi 3200', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=8688'
'Sydney', 'ISS021-E-8693', -34.6, 148.0, -33.8548157, 151.2164539, -34.6, 148.3, 'NIKON D2Xs S/N: 6026710', '20091018', '122113', 188.0, 210.0, -41.0, '1/4', '2.8', 'Hi 3200', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=8693'
'New york', 'ISS022-E-19787', 39.7, -69.0, 40.7305991, -73.9865812, 39.7, -69.3, 'NIKON D2Xs S/N: 6027261', '20100104', '063049', 177.0, 62.0, -61.0, '1/6', '2.8', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS022&roll=E&frame=19787'
'Chicago', 'ISS022-E-19808', 42.0, -84.0, 41.8756208, -87.6243706, 42.0, -84.5, 'NIKON D2Xs S/N: 6027261', '20100105', '064939', 177.0, 41.0, -66.0, '1/6', '2.8', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS022&roll=E&frame=19808'
'Tokyo', 'ISS022-E-73320', 35.7, 142.0, 35.6823815, 139.7530053, 35.7, 142.2, 'NIKON D2Xs S/N: 6027254', '20100225', '120324', 185.0, 296.0, -45.0, '1/8', '2.8', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS022&roll=E&frame=73320'
'New york', 'ISS022-E-75476', 42.1, -76.0, 40.7305991, -73.9865812, 42.1, -76.5, 'NIKON D2Xs S/N: 6027254', '20100227', '083423', 187.0, 66.0, -36.0, '1/40', '2.8', '800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS022&roll=E&frame=75476'
'Kiev, Ukraine', 'ISS022-E-85416', 50.4, 30.6, 50.4499875, 30.5234937, 51.1, 29.1, 'NIKON D2Xs S/N: 6027254', '20100308', '193411', 183.0, 310.0, -33.0, '1/60', '1.4', '800', '0.0', 1.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS022&roll=E&frame=85416'
'Madrid', 'ISS023-E-28918', 46.6, -4.2, 40.52516075, -3.77181653956588, 46.6, -4.2, 'NIKON D3 S/N: 2054926', '20100426', '223702', 189.0, 334.0, -26.0, '1/6', 'nan', '6400', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS023&roll=E&frame=28918'
'LYON', 'ISS023-E-29061', 44.5, 5.5, 45.7575958, 4.8323239, 49.5, 5.5, 'NIKON D3 S/N: 2054926', '20100428', '215412', 188.0, 333.0, -22.0, '1/13', 'nan', '6400', '0.0', 1.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS023&roll=E&frame=29061'
'Lisboa', 'ISS023-E-29555', 39.2, -7.6, 38.7130574, -9.1380056, 39.2, -7.6, 'NIKON D3 S/N: 2055552', '20100425', '221003', 189.0, 321.0, -28.0, '1/13', 'nan', '6400', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS023&roll=E&frame=29555'
'Madrid', 'ISS023-E-29557', 41.6, -3.5, 40.52516075, -3.77181653956588, 41.6, -3.5, 'NIKON D3 S/N: 2055552', '20100425', '221105', 189.0, 326.0, -29.0, '1/15', 'nan', '6400', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS023&roll=E&frame=29557'
'Venecia', 'ISS023-E-29566', 48.3, 13.4, 45.4384143, 12.318564, 48.3, 13.4, 'NIKON D3 S/N: 2055552', '20100425', '221443', 189.0, 346.0, -27.0, '1/8', 'nan', '6400', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS023&roll=E&frame=29566'
'Varsovia', 'ISS023-E-29571', 50.8, 25.8, 52.2319237, 21.0067265, 50.8, 25.8, 'NIKON D3 S/N: 2055552', '20100425', '221657', 188.0, 1.0, -26.0, '1/10', 'nan', '6400', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS023&roll=E&frame=29571'
'Pekin', 'ISS023-E-30259', 40.4, 118.0, 40.2505379, 116.625088590652, 40.4, 118.6, 'NIKON D3S S/N: 2007934', '20100430', '181857', 188.0, 37.0, -26.0, '1/125', '5.6', '12800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS023&roll=E&frame=30259'
' European Union', 'ISS023-E-30618', 49.7, 11.8, 0.0, 0.0, 49.7, 11.8, 'NIKON D3S S/N: 2007934', '20100501', '231120', 188.0, 0.0, -25.0, '1/125', '2.8', '12800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS023&roll=E&frame=30618'
'Seul', 'ISS023-E-31107', 35.1, 125.0, 37.5710824, 126.9953036, 35.1, 125.7, 'NIKON D3S S/N: 2007934', '20100502', '173612', 188.0, 35.0, -32.0, '1/200', '2.8', '12800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS023&roll=E&frame=31107'
'Chicago', 'ISS023-E-31264', 31.9, -79.0, 41.8756208, -87.6243706, 31.9, -79.6, 'NIKON D3S S/N: 2007934', '20100503', '072029', 188.0, 37.0, -34.0, '1/5', '2.8', '12800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS023&roll=E&frame=31264'
' \xe6\x97\xa5\xe6\x9c\xac', 'ISS023-E-31424', 33.1, 139.0, 0.0, 0.0, 33.1, 139.4, 'NIKON D3S S/N: 2007934', '20100503', '162844', 189.0, 33.0, -35.0, '1/250', '2.8', '12800', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS023&roll=E&frame=31424'
'Italia', 'ISS023-E-33042', 51.8, 13.9, 42.6384261, 12.674297, 51.8, 13.9, 'NIKON D3 S/N: 2054926', '20100429', '222100', 188.0, 349.0, -23.0, '1/8', 'nan', '6400', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS023&roll=E&frame=33042'
'Espa\xc3\xb1a', 'ISS025-E-10378', 38.5, -7.0, 40.0028028, -4.003104, 41.2, 0.0, 'NIKON D3S S/N: 2007934', '20101029', '235623', 185.0, 7.0, -62.0, '1/6', '2.8', '25600', '0.0', 1.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=10378'
'MALLORCA', 'ISS025-E-10396', 39.5, 2.5, 39.6594496, 2.986239, 36.5, 7.4, 'NIKON D3S S/N: 2007934', '20101029', '235821', 185.0, 26.0, -65.0, '1/6', '2.8', '25600', '0.0', 1.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=10396'
'Espa\xc3\xb1a', 'ISS025-E-10400', 39.5, -1.5, 40.0028028, -4.003104, 34.8, 9.7, 'NIKON D3S S/N: 2007934', '20101029', '235901', 185.0, 33.0, -66.0, '1/6', '2.8', '25600', '0.0', 1.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=10400'
'EIRE', 'ISS025-E-10541', 55.0, -5.5, 52.865196, -7.9794599, 46.5, -0.8, 'NIKON D3S S/N: 2007934', '20101030', '224649', 184.0, 334.0, -55.0, '1/6', '2.8', '25600', '0.0', 1.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=10541'
'NILE', 'ISS025-E-10611', 28.0, 34.0, 17.5276348, 33.8827602, 25.3, 31.1, 'NIKON D3S S/N: 2007934', '20101030', '225533', 186.0, 62.0, -69.0, '1/6', '2.8', '25600', '0.0', 1.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=10611'
'Jamaica', 'ISS025-E-10745', 11.3, -73.0, 18.1850507, -77.3947693, 11.3, -73.7, 'NIKON D3S S/N: 2007934', '20101031', '063754', 187.0, 99.0, -61.0, '1/6', '2.8', '25600', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=10745'
'Espa\xc3\xb1a', 'ISS025-E-11721', 42.3, -6.3, 40.0028028, -4.003104, 42.3, -6.3, 'NIKON D3S S/N: 2007934', '20101104', '214822', 185.0, 301.0, -50.0, '1/6', '2.8', '20319', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=11721'
'Madrid', 'ISS025-E-11733', 38.9, -0.4, 40.52516075, -3.77181653956588, 38.9, -0.4, 'NIKON D3S S/N: 2007934', '20101104', '214950', 185.0, 304.0, -56.0, '1/6', '2.8', '20319', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=11733'
'Valencia', 'ISS025-E-11746', 36.1, 3.8, 39.55773285, -0.299777427158372, 36.1, 3.8, 'NIKON D3S S/N: 2007934', '20101104', '215100', 185.0, 307.0, -60.0, '1/6', '2.8', '20319', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=11746'
' \xd8\xa7\xd9\x84\xd8\xac\xd8\xb2\xd8\xa7\xd8\xa6\xd8\xb1 Alg\xc3\xa9rie', 'ISS025-E-11753', 32.9, 7.8, 0.0, 0.0, 32.9, 7.8, 'NIKON D3S S/N: 2007934', '20101104', '215212', 185.0, 309.0, -65.0, '1/6', '2.8', '20319', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=11753'
'Cabe town', 'ISS025-E-12912', -37.6, 21.0, 42.042872, -75.399506, -37.6, 21.7, 'NIKON D3S S/N: 2007934', '20101107', '003622', 191.0, 142.0, -27.0, '1/6', '2.8', '20319', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=12912'
'Espa\xc3\xb1a', 'ISS025-E-13698', 36.3, -11.0, 40.0028028, -4.003104, 36.3, -11.3, 'NIKON D3S S/N: 2007934', '20101109', '204910', 185.0, 276.0, -38.0, '1/10', '2.8', '20319', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=13698'
'Lisboa', 'ISS025-E-13702', 34.1, -8.5, 38.7130574, -9.1380056, 34.1, -8.5, 'NIKON D3S S/N: 2007934', '20101109', '205000', 185.0, 277.0, -41.0, '1/10', '2.8', '20319', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=13702'
' \xd8\xa7\xd9\x84\xd9\x85\xd8\xba\xd8\xb1\xd8\xa8 Maroc', 'ISS025-E-13709', 32.5, -6.6, 0.0, 0.0, 32.5, -6.6, 'NIKON D3S S/N: 2007934', '20101109', '205036', 185.0, 276.0, -43.0, '1/10', '2.8', '20319', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=13709'
'Espa\xc3\xb1a', 'ISS025-E-13709', 32.5, -6.6, 40.0028028, -4.003104, 32.5, -6.6, 'NIKON D3S S/N: 2007934', '20101109', '205036', 185.0, 276.0, -43.0, '1/10', '2.8', '20319', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=13709'
' Italia', 'ISS025-E-16964', 36.0, 12.4, 0.0, 0.0, 36.0, 12.4, 'NIKON D3S S/N: 2007934', '20101109', '191747', 185.0, 277.0, -39.0, '1/10', '2.8', '20319', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=16964'
'Tr\xc3\xadpoli', 'ISS025-E-16972', 31.8, 17.6, 32.8955292, 13.1787929, 31.8, 17.6, 'NIKON D3S S/N: 2007934', '20101109', '191923', 185.0, 277.0, -44.0, '1/10', '2.8', '20319', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS025&roll=E&frame=16972'
